Name,Round,SecondsTarget2,ConfidentLevel,SecondsConfident,Score,PlayerTarget2,PlayerTarget1,SecondsTarget1,Images,Target Position,Correct_1,Correct_2,AI Position 1,AI Position 2,AI1 Correct,AI2 Correct
S8,4,0.27,5,0.35,8,5,5,0.28,N58,5,1,1,6,6,0,0
S8,5,0.35,5,0.53,10,5,5,0.55,E13,5,1,1,6,1,0,0
S8,6,0.33,5,0.28,12,1,1,0.57,HT26,1,1,1,1,1,1,1
S8,7,0.3,4,0.57,14,5,5,0.58,HT22,5,1,1,2,5,0,1
S8,8,0.28,5,0.25,16,2,2,0.5,E15,2,1,1,2,4,1,0
S8,9,0.25,4,0.35,16,6,6,0.45,N97,6,1,1,1,1,0,0
S8,10,0.28,5,0.3,18,1,1,0.6,E31,1,1,1,5,6,0,0
S8,11,0.28,5,0.27,20,5,5,0.33,N61,5,1,1,5,5,1,1
S8,12,0.27,4,0.35,21,3,5,1.05,E30,3,0,1,5,3,0,1
S8,13,0.27,5,0.33,23,3,3,0.35,HT41,3,1,1,3,6,1,0
S8,14,0.37,4,0.38,25,3,3,0.25,N69,3,1,1,1,1,0,0
S8,15,1.2,0,0.5,25,4,2,0.47,N14,5,0,0,2,4,0,0
S8,16,1.63,5,0.9,27,2,2,0.42,N51,2,1,1,2,2,1,1
S8,17,0.32,2,0.25,27,4,4,0.42,HT66,5,0,0,1,5,0,1
